Index,Descriptor Name,Type,Description,Dimention,Extended class
1,BalabanJ,Balaban's J index,"Balaban's J value for a molecule,Chem. Phys. Lett. 89:399-404 (1982).",2,Topological descriptors
2,BertzCT,BertzCT,"A topological index meant to quantify ""complexity"" of molecules.J. Am. Chem. Soc. 103:3599-601 (1981).",2,Topological descriptors
3,Chi0,Chi indices,"From equations (1),(9) and (10) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
4,Chi1,Chi indices,"From equations (1),(11) and (12) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
5,Chi0v,Chi indices,"From equations (5),(9) and (10) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
6,Chi1v,Chi indices,"From equations (5),(11) and (12) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
7,Chi2v,Chi indices,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
8,Chi3v,Chi indices,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
9,Chi4v,Chi indices,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",2,Connectivity descriptors
10,Chi0n,Chi indices,"Similar to Hall Kier Chi0v, but uses nVal instead of valence This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",2,Connectivity descriptors
11,Chi1n,Chi indices,"Similar to Hall Kier Chi1v, but uses nVal instead of valence.Rev. Comput. Chem. 2:367-422 (1991).",2,Connectivity descriptors
12,Chi2n,Chi indices,"Similar to Hall Kier Chi2v, but uses nVal instead of valence This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",2,Connectivity descriptors
13,Chi3n,Chi indices,"Similar to Hall Kier Chi3v, but uses nVal instead of valence This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",2,Connectivity descriptors
14,Chi4n,Chi indices,"Similar to Hall Kier Chi4v, but uses nVal instead of valence.This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",2,Connectivity descriptors
15,EState_VSA1,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
16,EState_VSA2,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
17,EState_VSA3,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
18,EState_VSA4,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
19,EState_VSA5,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
20,EState_VSA6,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
21,EState_VSA7,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
22,EState_VSA8,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
23,EState_VSA9,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
24,EState_VSA10,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
25,EState_VSA11,EState_VSA,"MOE-type descriptors using EState indices and surface area contributions (developed at RD, not described in the CCG paper).",2,MOE-type descriptors
26,ExactMolWt,ExactMolWt,The molecule's exact molecular weight.,2,Molecular property descriptors
27,FractionCSP3,FractionCSP3,The fraction of C atoms that are SP3 hybridized.,1,Constitutional descriptors
28,HallKierAlpha,HallKierAlpha,The Hall-Kier alpha value for a molecule.Rev. Comput. Chem. 2:367-422 (1991).,2,Topological descriptors
29,HeavyAtomCount,HeavyAtomCount,Number of heavy atoms of a molecule.,1,Constitutional descriptors
30,HeavyAtomMolWt,HeavyAtomMolWt,The average molecular weight of the molecule ignoring hydrogens,1,Constitutional descriptors
31,Ipc,Ipc,the information content of the coefficients of the characteristic polynomial of the adjacency matrix of a hydrogen-suppressed graph of a molecule.,2,Topological descriptors
32,Kappa1,Kappa descriptors,Hall-Kier Kappa1 value,2,Topological descriptors
33,Kappa2,Kappa descriptors,Hall-Kier Kappa2 value,2,Topological descriptors
34,Kappa3,Kappa descriptors,Hall-Kier Kappa2 value,2,Topological descriptors
35,LabuteASA,LabuteASA,Labute's Approximate Surface Area (ASA from MOE),2,MOE-type descriptors
36,MolLogP,MolLogP,Wildman-Crippen LogP value.Wildman and Crippen JCICS 39:868-73 (1999),2,Molecular property descriptors
37,MolMR,MolMR,Wildman-Crippen MR value.Wildman and Crippen JCICS 39:868-73 (1999),2,Molecular property descriptors
38,MolWt,MolWt,The average molecular weight of the molecule,2,Molecular property descriptors
39,NHOHCount,NHOHCount,Number of NHs or OHs,1,Constitutional descriptors
40,NOCount,NOCount,Number of Nitrogens and Oxygens,1,Constitutional descriptors
41,NumAliphaticCarbocycles,NumAliphaticCarbocycles,The number of aliphatic (containing at least one non-aromatic bond) carbocycles for a molecule,1,Constitutional descriptors
42,NumAliphaticHeterocycles,NumAliphaticHeterocycles,The number of aliphatic (containing at least one non-aromatic bond) heterocycles for a molecule,1,Constitutional descriptors
43,NumAliphaticRings,NumAliphaticRings,The number of aliphatic (containing at least one non-aromatic bond) rings for a molecule,1,Constitutional descriptors
44,NumAromaticCarbocycles,NumAromaticCarbocycles,The number of aromatic carbocycles for a molecule,1,Constitutional descriptors
45,NumAromaticHeterocycles,NumAromaticHeterocycles,The number of aromatic heterocycles for a molecule,1,Constitutional descriptors
46,NumAromaticRings,NumAromaticRings,The number of aromatic rings for a molecule,1,Constitutional descriptors
47,NumHAcceptors,NumHAcceptors,Number of Hydrogen Bond Acceptors,1,Constitutional descriptors
48,NumHDonors,NumHDonors,Number of Hydrogen Bond Donors,1,Constitutional descriptors
49,NumHeteroatoms,NumHeteroatoms,Number of Heteroatoms,1,Constitutional descriptors
50,NumRadicalElectrons,NumRadicalElectrons,The number of radical electrons the molecule has (says nothing about spin state),1,Constitutional descriptors
51,NumRotatableBonds,NumRotatableBonds,Number of Rotatable Bonds,1,Constitutional descriptors
52,NumSaturatedCarbocycles,NumSaturatedCarbocycles,The number of saturated carbocycles for a molecule,1,Constitutional descriptors
53,NumSaturatedHeterocycles,NumSaturatedHeterocycles,The number of saturated heterocycles for a molecule,1,Constitutional descriptors
54,NumSaturatedRings,NumSaturatedRings,The number of saturated rings for a molecule,1,Constitutional descriptors
55,NumValenceElectrons,NumValenceElectrons,The number of valence electrons the molecule has,1,Constitutional descriptors
56,PEOE_VSA1,PEOE_VSA,MOE Charge VSA Descriptor 1 (-inf < x < -0.30),2,MOE-type descriptors
57,PEOE_VSA2,PEOE_VSA,MOE Charge VSA Descriptor 2 (-0.30 <= x < -0.25),2,MOE-type descriptors
58,PEOE_VSA3,PEOE_VSA,MOE Charge VSA Descriptor 3 (-0.25 <= x < -0.20),2,MOE-type descriptors
59,PEOE_VSA4,PEOE_VSA,MOE Charge VSA Descriptor 4 (-0.20 <= x < -0.15),2,MOE-type descriptors
60,PEOE_VSA5,PEOE_VSA,MOE Charge VSA Descriptor 5 (-0.15 <= x < -0.10),2,MOE-type descriptors
61,PEOE_VSA6,PEOE_VSA,MOE Charge VSA Descriptor 6 (-0.10 <= x < -0.05),2,MOE-type descriptors
62,PEOE_VSA7,PEOE_VSA,MOE Charge VSA Descriptor 7 (-0.05 <= x < 0.00),2,MOE-type descriptors
63,PEOE_VSA8,PEOE_VSA,MOE Charge VSA Descriptor 8 ( 0.00 <= x < 0.05),2,MOE-type descriptors
64,PEOE_VSA9,PEOE_VSA,MOE Charge VSA Descriptor 9 ( 0.05 <= x < 0.10),2,MOE-type descriptors
65,PEOE_VSA10,PEOE_VSA,MOE Charge VSA Descriptor 10 ( 0.10 <= x < 0.15),2,MOE-type descriptors
66,PEOE_VSA11,PEOE_VSA,MOE Charge VSA Descriptor 11 ( 0.15 <= x < 0.20),2,MOE-type descriptors
67,PEOE_VSA12,PEOE_VSA,MOE Charge VSA Descriptor 12 ( 0.20 <= x < 0.25),2,MOE-type descriptors
68,PEOE_VSA13,PEOE_VSA,MOE Charge VSA Descriptor 13 ( 0.25 <= x < 0.30),2,MOE-type descriptors
69,PEOE_VSA14,PEOE_VSA,MOE Charge VSA Descriptor 14 ( 0.30 <= x < inf),2,MOE-type descriptors
70,RingCount,RingCount,The number of rings for a molecule,1,Constitutional descriptors
71,SMR_VSA1,SMR_VSA,MOE MR VSA Descriptor 1 (-inf < x < 1.29),2,MOE-type descriptors
72,SMR_VSA2,SMR_VSA,MOE MR VSA Descriptor 2 ( 1.29 <= x < 1.82),2,MOE-type descriptors
73,SMR_VSA3,SMR_VSA,MOE MR VSA Descriptor 3 ( 1.82 <= x < 2.24),2,MOE-type descriptors
74,SMR_VSA4,SMR_VSA,MOE MR VSA Descriptor 4 ( 2.24 <= x < 2.45),2,MOE-type descriptors
75,SMR_VSA5,SMR_VSA,MOE MR VSA Descriptor 5 ( 2.45 <= x < 2.75),2,MOE-type descriptors
76,SMR_VSA6,SMR_VSA,MOE MR VSA Descriptor 6 ( 2.75 <= x < 3.05),2,MOE-type descriptors
77,SMR_VSA7,SMR_VSA,MOE MR VSA Descriptor 7 ( 3.05 <= x < 3.63),2,MOE-type descriptors
78,SMR_VSA8,SMR_VSA,MOE MR VSA Descriptor 8 ( 3.63 <= x < 3.80),2,MOE-type descriptors
79,SMR_VSA9,SMR_VSA,MOE MR VSA Descriptor 9 ( 3.80 <= x < 4.00),2,MOE-type descriptors
80,SMR_VSA10,SMR_VSA,MOE MR VSA Descriptor 10 ( 4.00 <= x < inf),2,MOE-type descriptors
81,SlogP_VSA1,SlogP_VSA,MOE logP VSA Descriptor 1 (-inf < x < -0.40),2,MOE-type descriptors
82,SlogP_VSA2,SlogP_VSA,MOE logP VSA Descriptor 2 (-0.40 <= x < -0.20),2,MOE-type descriptors
