ML Condition,Number,Speed [mm/s],Power [%],Frequency [kHz],Spacing [mm],Type,FDT [s],RFDT
1,8,400,80,40,0.05,1,166.46,6.56
2,3,100,60,10,0.09,1,146.13,5.76
3,5,700,40,50,0.11,1,140.51,5.54
4,1,1500,40,30,0.05,1,166.31,6.56
5,7,700,90,30,0.05,1,319.45,12.59
6,2,1500,50,50,0.07,1,116.23,4.58
7,1,1000,30,20,0.15,1,297.52,11.73
8,9,800,70,10,0.07,1,373.46,14.72
9,7,300,90,10,0.01,1,257.03,10.13
10,4,900,60,50,0.13,1,316.5,12.48
11,2,500,90,50,0.15,1,336.03,13.25
12,10,500,30,20,0.07,1,410.54,16.18
13,10,200,50,30,0.13,1,282.17,11.12
14,1,1300,50,20,0.03,1,268.17,10.57
15,7,400,50,10,0.13,1,227.27,8.96
16,5,300,70,20,0.01,1,429,16.91
17,8,100,30,10,0.01,2,183.59,7.24
18,5,400,80,50,0.09,2,252.49,9.95
19,10,800,20,30,0.03,2,138.49,5.46
20,3,800,90,40,0.05,2,61.13,2.41
21,10,1000,80,50,0.09,2,160.12,6.31
22,6,1500,70,10,0.05,2,212.25,8.37
23,2,300,70,40,0.13,2,121.32,4.78
24,7,1500,70,30,0.05,2,189.5,7.47
25,4,200,90,20,0.13,2,124.26,4.9
26,3,1000,90,50,0.01,2,267.02,10.53
27,5,1200,40,40,0.11,2,106.15,4.18
28,5,900,30,30,0.09,2,113.02,4.45
29,3,200,40,50,0.11,2,165.53,6.52
30,2,700,50,30,0.15,2,114.02,4.49
31,3,300,80,10,0.01,2,334.37,13.18
32,1,400,70,10,0.11,2,261.42,10.3
33,6,900,50,20,0.09,2,127.46,5.02
34,4,800,50,40,0.03,3,54.12,2.13
35,9,200,50,10,0.15,3,133.53,5.26
36,5,200,80,50,0.07,3,385.37,15.19
37,1,1500,50,20,0.13,3,254.44,10.03
38,2,300,30,10,0.09,3,154,6.07
39,1,900,60,30,0.01,3,259.11,10.21
40,9,1000,30,20,0.11,3,144.02,5.68
41,5,800,40,40,0.07,3,132.42,5.22
42,3,100,80,10,0.05,3,327.26,12.9
43,3,500,90,10,0.15,3,143.27,5.65
44,6,700,30,40,0.09,3,96.55,3.81
45,1,1400,40,10,0.01,3,403.01,15.89
46,9,600,30,30,0.09,3,139.13,5.48
47,7,1000,30,40,0.15,3,100.12,3.95
48,6,1200,100,30,0.13,3,419.04,16.52
49,10,900,40,20,0.01,3,163.34,6.44
50,7,1500,30,40,0.09,3,197.14,7.77
51,2,400,50,20,0.11,3,189.02,7.45
52,4,700,100,40,0.05,3,325.57,12.83
